"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
7,"39. Sant Gen�s dels Agudells",3.632,3.297,3.177,27,11,8,10,4,13,5,12,6,2,1,2,4,3,0,12,39,22,4,0,13,252,23,19,39,29,19,18,8,32,4,13,12,14,2,8,5,3,4,44,13,13,1,6,0,3,2,6,0,0,0,,
7,"40. Montbau",2.841,2.595,2.535,12,2,11,5,1,8,6,2,0,0,1,0,4,1,0,7,20,13,2,1,4,201,16,12,23,21,7,14,11,11,10,32,20,7,4,3,4,0,6,24,5,10,0,3,0,1,3,2,0,1,0,,
7,"41. la Vall d'Hebron",2.919,2.700,2.601,19,5,22,5,6,11,1,7,2,1,1,5,6,1,0,7,10,1,0,2,7,194,8,9,25,26,6,11,13,14,10,28,16,20,1,4,0,0,3,14,0,12,0,0,0,1,0,1,1,0,0,,
7,"42. la Clota",251,213,205,0,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,3,0,2,0,2,1,2,0,0,0,6,0,2,4,0,2,14,13,0,0,1,0,0,0,0,0,0,0,,
7,"43. Horta",14.038,13.065,12.647,87,31,82,24,9,33,15,26,22,7,8,19,8,25,1,21,72,50,4,2,16,782,119,81,87,70,123,32,27,65,26,25,46,17,5,16,17,12,14,119,20,54,20,2,0,5,4,14,0,0,0,,
8,"44. Vilapicina i la Torre Llobeta",13.798,12.441,12.036,65,33,45,17,6,49,6,28,20,6,5,52,25,27,1,20,73,48,8,7,10,1.090,235,179,152,124,82,49,26,70,10,18,46,33,8,21,7,17,13,193,28,150,0,2,1,2,0,10,1,0,0,,
8,"45. Porta",12.888,11.362,10.964,39,19,39,11,6,56,13,38,10,5,7,32,10,90,5,18,147,105,10,7,25,1.199,211,192,154,128,133,38,54,102,8,17,72,24,5,27,15,6,13,178,42,106,7,6,2,1,2,12,1,1,0,,
8,"46. el Tur� de la Peira",8.253,6.638,6.348,23,17,51,8,2,34,11,40,8,6,2,50,2,27,0,9,128,98,18,2,10,1.334,455,195,110,72,209,33,38,80,4,26,49,11,3,8,6,21,14,153,85,56,0,6,1,2,0,3,0,0,0,,
8,"47. Can Peguera",1.187,1.134,1.117,8,0,3,0,0,1,0,1,0,0,1,0,0,0,0,3,12,10,0,0,2,35,6,4,1,5,2,3,2,1,1,3,0,2,2,3,0,0,0,6,0,3,1,1,0,0,0,1,0,0,0,,
8,"48. la Guineueta",8.072,7.621,7.434,36,7,32,9,2,25,2,18,7,6,1,9,6,16,2,9,29,18,0,1,10,377,41,52,50,35,16,27,20,56,8,11,29,6,2,10,5,5,4,45,4,34,3,0,0,2,0,2,0,0,0,,
8,"49. Canyelles",3.705,3.551,3.493,6,5,13,3,0,4,3,9,3,1,0,5,1,2,0,3,13,2,3,1,7,128,13,14,17,9,7,6,3,20,3,2,20,4,1,4,3,2,0,13,0,8,3,0,1,0,0,1,0,0,0,,
8,"50. les Roquetes",8.134,6.719,6.423,25,13,113,4,5,34,7,25,10,4,2,4,6,22,0,22,194,105,4,2,83,1.059,77,210,59,49,48,17,29,446,4,12,30,15,2,10,17,12,22,162,71,42,4,30,1,2,0,12,0,0,0,,
8,"51. Verdun",6.544,5.558,5.346,30,12,42,4,5,39,4,18,2,4,0,2,4,35,1,10,86,36,3,4,43,771,95,141,43,37,79,12,21,246,8,14,30,17,1,7,3,10,7,129,29,74,11,4,0,2,0,9,0,0,0,,
8,"52. la Prosperitat",13.801,12.150,11.772,42,7,69,13,8,33,7,29,8,7,3,34,23,74,1,20,161,80,12,6,63,1.246,203,237,127,108,95,35,73,235,6,17,42,14,3,17,16,8,10,242,50,145,16,19,3,2,1,6,1,1,0,,
8,"53. la Trinitat Nova",3.887,3.380,3.235,8,3,27,6,1,24,1,10,1,0,0,7,0,54,0,3,93,62,0,1,30,324,39,85,35,20,36,11,7,55,2,1,13,2,1,3,7,2,5,90,50,10,2,25,0,0,0,3,0,0,0,,
8,"54. Torre Bar�",1.096,1.001,984,3,1,1,0,1,6,1,0,0,0,0,0,0,0,1,3,30,22,1,3,4,59,18,11,4,3,4,4,3,5,0,3,0,2,0,1,1,0,0,6,5,1,0,0,0,0,0,0,0,0,0,,
8,"55. Ciutat Meridiana",5.254,3.871,3.719,8,1,35,2,1,18,6,15,17,14,0,2,4,9,1,19,351,178,1,2,170,853,64,275,45,30,142,10,15,213,0,4,24,5,2,5,4,5,10,179,138,10,3,14,1,2,0,11,0,0,0,,
8,"56. Vallbona",677,619,597,1,2,4,2,0,0,2,5,2,0,0,0,1,0,0,3,12,10,1,0,1,26,7,1,4,1,1,0,3,3,0,0,3,0,1,0,0,0,2,20,16,4,0,0,0,0,0,0,0,0,0,,
9,"57. la Trinitat Vella",5.003,3.797,3.610,23,4,64,3,2,16,3,14,0,3,0,15,6,15,5,14,295,241,11,1,42,565,58,162,83,30,62,12,29,48,3,9,31,5,0,5,10,5,13,346,276,34,6,13,3,1,0,13,0,0,0,,
9,"58. Bar� de Viver",1.261,1.157,1.128,3,0,3,1,2,11,1,0,0,0,0,5,0,0,0,3,45,24,9,3,9,46,3,8,10,3,2,1,5,5,0,0,4,1,0,0,3,0,1,13,5,2,1,2,0,0,0,3,0,0,0,,
9,"59. el Bon Pastor",6.330,5.710,5.496,21,13,36,5,2,22,17,25,8,1,4,7,13,21,1,18,90,67,2,4,17,401,95,91,35,28,27,15,12,50,5,9,15,5,1,3,3,4,3,129,31,75,6,11,0,3,1,2,0,0,0,,
9,"60. Sant Andreu",29.639,27.915,27.344,111,51,87,32,15,66,9,39,13,14,6,32,18,13,5,60,153,97,17,1,38,1.272,175,174,194,124,86,72,58,88,25,45,65,52,15,44,25,15,15,297,52,199,6,2,2,13,0,23,2,0,0,,
9,"61. la Sagrera",15.313,13.730,13.293,75,28,43,21,14,66,14,34,13,10,4,27,14,24,7,43,77,58,3,3,13,1.254,173,187,240,135,113,42,56,81,17,27,70,34,7,25,20,10,17,252,11,191,17,8,2,7,0,16,0,0,0,,
